Year,Mean,SD,CV,Qlower,Median,Qupper,Model,Distribution,Link,Q2.5,Q97.5
2019_SS,1.495865285439471,0.291989754952693,0.19519789502094717,1.0329884189749492,1.484605081642366,2.1811430198282427,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.0329884189749492,2.1811430198282427
2020_AW,1.1282803669387862,0.21381545890768827,0.18950560975177247,0.7857830169283899,1.129040385067035,1.6344054402562231,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.7857830169283899,1.6344054402562231
2020_SS,1.8649529138040613,0.3401786300615204,0.18240601547823357,1.3306927233795736,1.8677382340676123,2.673991727000468,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.3306927233795736,2.673991727000468
2021_AW,1.1829184862292421,0.21479410417670544,0.18157980171685278,0.8283154801619257,1.1872555988204407,1.6810978899275404,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.8283154801619257,1.6810978899275404
2021_SS,1.4373991843445038,0.294627408525204,0.2049725725004935,0.9632884693845991,1.4299875485530549,2.1510910636847753,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.9632884693845991,2.1510910636847753
2022_AW,1.2129533425836203,0.22780481089128304,0.18781003596235055,0.8409726325136245,1.2175463521683731,1.7373823269194009,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.8409726325136245,1.7373823269194009
2022_SS,1.3504894073733023,0.27069596964134984,0.20044286772145267,0.9092401830652225,1.3563835863917624,1.976001142991935,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.9092401830652225,1.976001142991935
2023_AW,0.9421774582137883,0.17083929469399692,0.18132390369207071,0.6643133473938686,0.9439964718675528,1.3527859217818732,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.6643133473938686,1.3527859217818732
2023_SS,1.2194679736456175,0.2303364398501005,0.18888272986908078,0.8472881277434308,1.222291006825626,1.746154619205199,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.8472881277434308,1.746154619205199
2024_AW,1.3606845601543107,0.24853480786572135,0.1826542426832093,0.9571648303645618,1.3630793835393435,1.9499830857806852,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.9571648303645618,1.9499830857806852
2024_SS,1.7019443527792082,0.3180928663836426,0.18689968674017424,1.1891762190572508,1.7020774452112595,2.454187931934875,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.1891762190572508,2.454187931934875
